Paper_ID,Paper,Author_ID,Author_name,Paper_Type,Conference_Type,Source_ID,Source,Year,Document_Type,Volume_Proceeding,Reviewer_1_ID,Reviewer_1,Reviewer_2_ID,Reviewer_2,Handler_ID,Handler,Handler_Type,Area_ID,Areas,Review_ID,Reviewer_Decision,Reviewer_Text,Venue_plus_Volume_Proceeding,Proceeding_Volume_ID
53e9b388b7602d9703e6d427,LLM: A Low Latency Messaging Infrastructure for Linux Clusters,53f79795dabfae9060acffeb,R. K. Shyamasundar,Demo Paper,None,S25175,HiPC,2002,Journal,2552,RV66133,Dr. Andrea Brown,RV74687,Bruce Macias,H35524,fwefgockgf,Editor,AR44374,low overhead negative acknowledgment,R54005,Accepted,"In this paper, we develop a messaging infrastructure, called LLM, to arrive at a robust and efficient low latency message passing infrastructure for kernel-to-kernel communication. The main focus is to overcome the high latencies associated with the conventional communication protocol stack management of TCP/IP. The LLM provides a transport protocol that offers high reliability at the fragment level keeping the acknowledgment overhead low given the high reliability levels of the LAN. The system utilizes some of the architectural facilities provided by the Linux kernel specially designed for optimization in the respective areas. Reliability against fragment losses is ensured by using a low overhead negative acknowledgment scheme. The implementation is in the form of loadable modules extending the Linux OS. In a typical implementation on a cluster of two nodes, each of uniprocessor Intel Pentium 400 MHz on a 10/100 Mbps LAN achieved an average round trip latency of .169ms as compared to the .531ms obtained by ICMP (Ping) protocol. A relative comparison of LLM with others is also provided.",HiPC 2552,VP89666
53e9b388b7602d9703e6d427,LLM: A Low Latency Messaging Infrastructure for Linux Clusters,53f4570bdabfaedf4360dffb,Basant Rajan,Demo Paper,None,S25175,HiPC,2002,Journal,2552,RV66133,Dr. Andrea Brown,RV74687,Bruce Macias,H35524,fwefgockgf,Editor,AR44374,low overhead negative acknowledgment,R54005,Accepted,"In this paper, we develop a messaging infrastructure, called LLM, to arrive at a robust and efficient low latency message passing infrastructure for kernel-to-kernel communication. The main focus is to overcome the high latencies associated with the conventional communication protocol stack management of TCP/IP. The LLM provides a transport protocol that offers high reliability at the fragment level keeping the acknowledgment overhead low given the high reliability levels of the LAN. The system utilizes some of the architectural facilities provided by the Linux kernel specially designed for optimization in the respective areas. Reliability against fragment losses is ensured by using a low overhead negative acknowledgment scheme. The implementation is in the form of loadable modules extending the Linux OS. In a typical implementation on a cluster of two nodes, each of uniprocessor Intel Pentium 400 MHz on a 10/100 Mbps LAN achieved an average round trip latency of .169ms as compared to the .531ms obtained by ICMP (Ping) protocol. A relative comparison of LLM with others is also provided.",HiPC 2552,VP89666
53e9b388b7602d9703e6d427,LLM: A Low Latency Messaging Infrastructure for Linux Clusters,53f43a1cdabfaedf435a1c23,Manish Prasad,Demo Paper,None,S25175,HiPC,2002,Journal,2552,RV66133,Dr. Andrea Brown,RV74687,Bruce Macias,H35524,fwefgockgf,Editor,AR44374,low overhead negative acknowledgment,R54005,Accepted,"In this paper, we develop a messaging infrastructure, called LLM, to arrive at a robust and efficient low latency message passing infrastructure for kernel-to-kernel communication. The main focus is to overcome the high latencies associated with the conventional communication protocol stack management of TCP/IP. The LLM provides a transport protocol that offers high reliability at the fragment level keeping the acknowledgment overhead low given the high reliability levels of the LAN. The system utilizes some of the architectural facilities provided by the Linux kernel specially designed for optimization in the respective areas. Reliability against fragment losses is ensured by using a low overhead negative acknowledgment scheme. The implementation is in the form of loadable modules extending the Linux OS. In a typical implementation on a cluster of two nodes, each of uniprocessor Intel Pentium 400 MHz on a 10/100 Mbps LAN achieved an average round trip latency of .169ms as compared to the .531ms obtained by ICMP (Ping) protocol. A relative comparison of LLM with others is also provided.",HiPC 2552,VP89666
53e9b388b7602d9703e6d427,LLM: A Low Latency Messaging Infrastructure for Linux Clusters,53f466cbdabfaedf436476fe,Amit Jain,Demo Paper,None,S25175,HiPC,2002,Journal,2552,RV66133,Dr. Andrea Brown,RV74687,Bruce Macias,H35524,fwefgockgf,Editor,AR44374,low overhead negative acknowledgment,R54005,Accepted,"In this paper, we develop a messaging infrastructure, called LLM, to arrive at a robust and efficient low latency message passing infrastructure for kernel-to-kernel communication. The main focus is to overcome the high latencies associated with the conventional communication protocol stack management of TCP/IP. The LLM provides a transport protocol that offers high reliability at the fragment level keeping the acknowledgment overhead low given the high reliability levels of the LAN. The system utilizes some of the architectural facilities provided by the Linux kernel specially designed for optimization in the respective areas. Reliability against fragment losses is ensured by using a low overhead negative acknowledgment scheme. The implementation is in the form of loadable modules extending the Linux OS. In a typical implementation on a cluster of two nodes, each of uniprocessor Intel Pentium 400 MHz on a 10/100 Mbps LAN achieved an average round trip latency of .169ms as compared to the .531ms obtained by ICMP (Ping) protocol. A relative comparison of LLM with others is also provided.",HiPC 2552,VP89666
53e9b388b7602d9703e6d83b,Advances in ataxia SCA-2 diagnosis using independent component analysis,53f43b05dabfaee43ec5cebf,Rodolfo V. García,Full Paper,Symposium,S29833,NOLISP,2009,Conference,5933,RV63932,Dustin Delgado MD,RV70114,Amanda Young,H35770,njotjmzgks,Chair,AR46585,healthy subject,R51209,Accepted,"This work discusses a new approach for ataxia SCA-2 diagnosis based in the application of independent component analysis to the data obtained by electro-oculography in several experiments carried out over healthy and sick subjects. Abnormalities in the oculomotor system are well known clinical symptoms in patients of several neurodegenerative diseases, including modifications in latency, peak velocity, and deviation in saccadic movements, causing changes in the waveform of the patient response. The changes in the morphology waveform suggest a higher degree of statistic independence in sick patients when compared to healthy individuals regarding the patient response to the visual saccadic stimulus modeled by means of digital generated saccade waveforms. The electro-oculogram records of six patients diagnosed with ataxia SCA2 (a neurodegenerative hereditary disease) and six healthy subjects used as control were processed to extract saccades.",NOLISP 5933,VP83250
53e9b388b7602d9703e6d83b,Advances in ataxia SCA-2 diagnosis using independent component analysis,54410868dabfae7d84bd6077,Fernando Rojas,Full Paper,Symposium,S29833,NOLISP,2009,Conference,5933,RV63932,Dustin Delgado MD,RV70114,Amanda Young,H35770,njotjmzgks,Chair,AR46585,healthy subject,R51209,Accepted,"This work discusses a new approach for ataxia SCA-2 diagnosis based in the application of independent component analysis to the data obtained by electro-oculography in several experiments carried out over healthy and sick subjects. Abnormalities in the oculomotor system are well known clinical symptoms in patients of several neurodegenerative diseases, including modifications in latency, peak velocity, and deviation in saccadic movements, causing changes in the waveform of the patient response. The changes in the morphology waveform suggest a higher degree of statistic independence in sick patients when compared to healthy individuals regarding the patient response to the visual saccadic stimulus modeled by means of digital generated saccade waveforms. The electro-oculogram records of six patients diagnosed with ataxia SCA2 (a neurodegenerative hereditary disease) and six healthy subjects used as control were processed to extract saccades.",NOLISP 5933,VP83250
53e9b388b7602d9703e6d83b,Advances in ataxia SCA-2 diagnosis using independent component analysis,53f42b00dabfaec22b9f0a6e,Carlos G. Puntonet,Full Paper,Symposium,S29833,NOLISP,2009,Conference,5933,RV63932,Dustin Delgado MD,RV70114,Amanda Young,H35770,njotjmzgks,Chair,AR46585,healthy subject,R51209,Accepted,"This work discusses a new approach for ataxia SCA-2 diagnosis based in the application of independent component analysis to the data obtained by electro-oculography in several experiments carried out over healthy and sick subjects. Abnormalities in the oculomotor system are well known clinical symptoms in patients of several neurodegenerative diseases, including modifications in latency, peak velocity, and deviation in saccadic movements, causing changes in the waveform of the patient response. The changes in the morphology waveform suggest a higher degree of statistic independence in sick patients when compared to healthy individuals regarding the patient response to the visual saccadic stimulus modeled by means of digital generated saccade waveforms. The electro-oculogram records of six patients diagnosed with ataxia SCA2 (a neurodegenerative hereditary disease) and six healthy subjects used as control were processed to extract saccades.",NOLISP 5933,VP83250
53e9b388b7602d9703e6d83b,Advances in ataxia SCA-2 diagnosis using independent component analysis,53f45e21dabfaec09f220e4d,Belén San Román,Full Paper,Symposium,S29833,NOLISP,2009,Conference,5933,RV63932,Dustin Delgado MD,RV70114,Amanda Young,H35770,njotjmzgks,Chair,AR46585,healthy subject,R51209,Accepted,"This work discusses a new approach for ataxia SCA-2 diagnosis based in the application of independent component analysis to the data obtained by electro-oculography in several experiments carried out over healthy and sick subjects. Abnormalities in the oculomotor system are well known clinical symptoms in patients of several neurodegenerative diseases, including modifications in latency, peak velocity, and deviation in saccadic movements, causing changes in the waveform of the patient response. The changes in the morphology waveform suggest a higher degree of statistic independence in sick patients when compared to healthy individuals regarding the patient response to the visual saccadic stimulus modeled by means of digital generated saccade waveforms. The electro-oculogram records of six patients diagnosed with ataxia SCA2 (a neurodegenerative hereditary disease) and six healthy subjects used as control were processed to extract saccades.",NOLISP 5933,VP83250
53e9b388b7602d9703e6d83b,Advances in ataxia SCA-2 diagnosis using independent component analysis,53f4745adabfaedd74ea0e9b,Luís Velázquez,Full Paper,Symposium,S29833,NOLISP,2009,Conference,5933,RV63932,Dustin Delgado MD,RV70114,Amanda Young,H35770,njotjmzgks,Chair,AR46585,healthy subject,R51209,Accepted,"This work discusses a new approach for ataxia SCA-2 diagnosis based in the application of independent component analysis to the data obtained by electro-oculography in several experiments carried out over healthy and sick subjects. Abnormalities in the oculomotor system are well known clinical symptoms in patients of several neurodegenerative diseases, including modifications in latency, peak velocity, and deviation in saccadic movements, causing changes in the waveform of the patient response. The changes in the morphology waveform suggest a higher degree of statistic independence in sick patients when compared to healthy individuals regarding the patient response to the visual saccadic stimulus modeled by means of digital generated saccade waveforms. The electro-oculogram records of six patients diagnosed with ataxia SCA2 (a neurodegenerative hereditary disease) and six healthy subjects used as control were processed to extract saccades.",NOLISP 5933,VP83250
53e9b388b7602d9703e6d83b,Advances in ataxia SCA-2 diagnosis using independent component analysis,53f45351dabfaedce55a728c,Roberto Rodríguez,Full Paper,Symposium,S29833,NOLISP,2009,Conference,5933,RV63932,Dustin Delgado MD,RV70114,Amanda Young,H35770,njotjmzgks,Chair,AR46585,healthy subject,R51209,Accepted,"This work discusses a new approach for ataxia SCA-2 diagnosis based in the application of independent component analysis to the data obtained by electro-oculography in several experiments carried out over healthy and sick subjects. Abnormalities in the oculomotor system are well known clinical symptoms in patients of several neurodegenerative diseases, including modifications in latency, peak velocity, and deviation in saccadic movements, causing changes in the waveform of the patient response. The changes in the morphology waveform suggest a higher degree of statistic independence in sick patients when compared to healthy individuals regarding the patient response to the visual saccadic stimulus modeled by means of digital generated saccade waveforms. The electro-oculogram records of six patients diagnosed with ataxia SCA2 (a neurodegenerative hereditary disease) and six healthy subjects used as control were processed to extract saccades.",NOLISP 5933,VP83250
